Site,Name,Pleiades
urn:cite:ptolemy:lonlat.pt_ll_2905, Tentura in marmarice (Tentyra),786127
urn:cite:ptolemy:lonlat.pt_ll_2906, kÅmÄ“ mesogeios Pampanis in marmarice (Pampanis),789754
urn:cite:ptolemy:lonlat.pt_ll_2907, Tathuris in marmarice (Tanchais), 737068
urn:cite:ptolemy:lonlat.pt_ll_2908, Hermouthis Ä“ HermÅnthis in marmarice (Hermoupolis Mikra), x
urn:cite:ptolemy:lonlat.pt_ll_2909, LatÅn polis in marmarice (Contra Latopolin), 786007
urn:cite:ptolemy:lonlat.pt_ll_2910, ApollÅnos polis megalÄ“ in marmarice, x
urn:cite:ptolemy:lonlat.pt_ll_2911, kÅmÄ“ mesogeios PhthÅnthis in marmarice (Phthemphoutites Nomos), 727202
urn:cite:ptolemy:lonlat.pt_ll_2912, nÄ“sos ElephantinÄ“ in marmarice (Elephantinē), x
urn:cite:ptolemy:lonlat.pt_ll_2894, HÄ“rakleous polis megalÄ“ in marmarice (Harakleōtikon stoma), x
urn:cite:ptolemy:lonlat.pt_ll_2895, Neilou polis in marmarice,  727153
urn:cite:ptolemy:lonlat.pt_ll_2896, AphroditÄ“s polis in marmarice (Aphroditopolis), 756532
urn:cite:ptolemy:lonlat.pt_ll_5323, Arsinoē in marmarice (Arsinoe), 789733
urn:cite:ptolemy:lonlat.pt_ll_5109, hormos Ptolemais in marmarice (Myos Hormos), 786069
urn:cite:ptolemy:lonlat.pt_ll_2897, Aggurōn ē Agkurōn polis in marmarice (Tocra), 373736
urn:cite:ptolemy:lonlat.pt_ll_5874, hoi tÄ“n nÄ“son poiountes potamoi in marmarice, x
